根西岛（英）,62063.00 
美属萨摩亚,56700.00 
北马里亚纳群岛（美）,56200.00 
圣基茨和尼维斯,56345.00 
格陵兰岛（丹）,55992.00 
马绍尔群岛,55500.00 
南奥塞梯（未广泛承认）,53532.00 
法罗群岛（丹）,51371.00 
特克斯和凯科斯群岛（英）,41369.00 
圣马丁岛（荷）,40614.00 
摩纳哥,38300.00 
列支敦士登,38201.00 
圣马丁（法）,36457.00 
直布罗陀（英）,33573.00 
圣马力诺,33419.00 
英属维尔京群岛,32206.00 
帕劳,17900.00 
库克群岛（新西兰/准主权国家）,15200.00 
安圭拉岛（英）,15174.00 
瓦利斯群岛和富图纳群岛（法）,11700.00 
瑙鲁,11000.00 
图瓦卢,10200.00 
圣巴尔特雷米（法）,9417.00 
圣皮埃尔和米基隆（法）,6286.00 
圣海伦娜，阿森松岛和特里斯坦达库尼亚,5633.00 
蒙特塞拉特（英）,5220.00 
福克兰群岛（马尔维纳斯群岛）（英）,3198.00 
圣诞岛（澳）,1843.00 
诺福克岛（澳）,1748.00 
纽埃（新西兰/准主权国家）,1520.00 
托克劳群岛（新西兰）,1499.00 
梵蒂冈,800.00 
基林群岛（澳）,544.00 
皮特凯恩群岛（英）,50.00 
